"code_name";"max_eicat";"mean_eicat";"max.sum_eicat";"wemean_eicat"
"a.baile";3;3;6;2,54
"a.cyclo";3;1,5;11;1,7575
"a.dealb";3;1,46875;17;1,709375
"a.decur";3;2,5;8;2,27
"a.elata";1;1;1;1,46
"a.longi";3;1,84848484848485;16;1,92030303030303
"a.mearn";3;1,73076923076923;18;1,93576923076923
"a.melan";3;1,11111111111111;10;1,51
"a.pycna";3;3;6;2,99
"a.salic";1;1;4;1,46
"a.salig";3;1,875;18;1,93208333333333
