"id";"SR"
"1896";6
"1897";3
"1898";5
"1899";6
"1900";4
"1901";4
"1902";4
"1903";5
"1904";3
"1905";5
"1906";5
"1907";7
"1908";8
"1909";10
"1910";9
"1911";10
"1912";7
"1913";7
"1914";9
"1915";7
"1916";7
"1917";6
"1918";7
"1919";6
"1920";7
"1921";5
"1925";1
"1926";24
"1927";5
"1928";10
"1929";9
"1930";8
"1931";9
"1932";8
"1933";4
"1934";5
"1935";5
"1936";4
"1937";5
"1938";5
"1939";4
"1940";4
"1941";6
"1942";7
"1943";7
"1944";8
"1945";11
"1946";8
"1948";3
"1949";5
"1950";6
"1951";5
"1952";7
"1953";3
"1954";4
"1955";6
"1956";7
"1957";9
"1958";8
"1959";7
"1960";6
"1961";5
"1962";5
"1963";4
"1964";3
"1965";2
"1966";3
"1967";3
"1968";2
"1969";4
"1970";4
"1971";6
"1972";4
"1974";1
"1975";2
"1976";2
